0,*
1,ガル接続
2,仮定形
3,仮定縮約１
4,仮定縮約２
5,体言接続
6,体言接続特殊
7,体言接続特殊２
8,命令ｅ
9,命令ｉ
10,命令ｒｏ
11,命令ｙｏ
12,基本形
13,文語基本形
14,未然ウ接続
15,未然ヌ接続
16,未然レル接続
17,未然形
18,未然特殊
19,現代基本形
20,連用ゴザイ接続
21,連用タ接続
22,連用テ接続
23,連用デ接続
24,連用ニ接続
25,連用形
26,音便基本形
